State,Code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,>75,Grand Total
WP LABUAN,WPKL,2020,0,0,1,0,2,1,1,0,0,0,0,0,,,,,5
WP KUALA LUMPUR,WPLabuan,2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
MALAYSIA,MYS,2020,55,94,257,247,319,344,308,273,258,216,190,278,,,,,2839
JOHOR,Johor,2021,0,0,0,1,2,5,1,0,2,2,0,2,,,,,15
KEDAH,Kedah,2021,0,0,0,1,1,1,1,1,1,0,0,2,,,,,8
KELANTAN,Kelantan,2021,0,2,6,5,16,21,23,17,8,6,6,14,,,,,124
MELAKA,Melaka,2021,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
NEGERI SEMBILAN,Negeri Sembilan,2021,0,0,0,2,1,0,0,3,2,0,1,4,,,,,13
PULAU PINANG,Pahang,2021,1,2,5,14,19,12,5,14,10,6,5,11,,,,,104
PAHANG,Perak,2021,1,1,5,10,5,11,16,10,11,9,8,7,,,,,94
PERAK,Perlis,2021,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
PERLIS,Pulau Pinang,2021,0,0,1,0,1,0,0,0,0,0,0,0,,,,,2
SABAH,Sabah,2021,75,113,181,200,262,244,248,207,174,161,125,214,,,,,2204
SARAWAK,Sarawak,2021,14,36,74,78,92,113,106,109,116,97,90,132,,,,,1057
SELANGOR,Selangor,2021,0,0,0,4,3,1,3,6,5,2,1,4,,,,,29
TERENGGANU,Terengganu,2021,0,0,1,4,4,6,4,5,0,2,1,9,,,,,36
WP LABUAN,WPKL,2021,0,0,0,0,1,0,0,0,0,0,0,0,,,,,1
WP KUALA LUMPUR,WPLabuan,2021,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
MALAYSIA,MYS,2021,91,154,273,319,407,414,407,372,329,285,237,399,,,,,3687
