State,Code,Year,0-4,9-May,14-Oct,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,>75,Grand Total,lng,lat
KEDAH,Kedah,2012,1,0,0,3,9,6,5,2,1,4,2,0,0,0,0,0,33,100.3685,6.1184
KELANTAN,Kelantan,2012,1,5,4,11,28,32,25,16,8,10,14,9,7,4,0,0,174,102.2386,6.1254
MELAKA,Melaka,2012,0,0,0,3,4,1,2,2,1,4,0,1,0,0,0,0,18,102.2501,2.1896
NEGERI SEMBILAN,Negeri Sembilan,2012,1,3,0,4,20,22,14,10,8,8,1,2,5,0,0,0,98,101.9424,2.7258
PAHANG,Pahang,2012,5,1,10,20,34,34,30,24,15,9,7,13,3,2,5,4,216,103.3256,3.8126
PERAK,Perak,2012,0,1,3,6,20,17,18,9,10,6,4,3,3,2,2,0,104,101.0901,4.5921
PERLIS,Perlis,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.2048,6.4449
PULAU PINANG,Pulau Pinang,2012,0,0,1,3,13,6,5,1,2,1,0,1,4,0,0,0,37,100.3288,5.4141
SABAH,Sabah,2012,80,112,150,239,272,254,200,165,165,119,119,54,50,22,29,27,2057,116.0753,5.9788
SARAWAK,Sarawak,2012,32,59,61,94,135,124,132,180,208,150,143,88,65,44,28,28,1571,110.3592,1.5533
SELANGOR,Selangor,2012,0,6,10,25,54,50,40,32,21,15,8,4,2,3,0,0,270,101.5183,3.0738
TERENGGANU,Terengganu,2012,0,0,1,3,5,4,7,4,1,1,5,3,0,0,0,0,34,103.1324,5.3117
WP KUALA LUMPUR,WPKL,2012,0,0,0,3,6,4,5,2,2,0,1,0,0,0,0,0,23,101.6869,3.139
WP LABUAN,WPLabuan,2012,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,115.2308,5.2831
MALAYSIA,MYS,2012,120,188,241,416,618,576,499,455,447,332,307,184,141,78,64,59,4725,109,3.7
JOHOR,Johor,2013,0,2,0,6,9,11,13,5,5,2,5,1,2,0,0,0,61,103.7414,1.4927
KEDAH,Kedah,2013,2,0,0,9,5,13,7,8,0,0,1,0,0,1,0,0,46,100.3685,6.1184
KELANTAN,Kelantan,2013,19,32,28,45,41,60,39,46,17,20,11,7,7,1,2,2,377,102.2386,6.1254
MELAKA,Melaka,2013,0,0,0,1,1,3,0,0,1,1,0,1,0,0,0,0,8,102.2501,2.1896
NEGERI SEMBILAN,Negeri Sembilan,2013,0,0,2,5,14,5,9,6,5,1,4,1,0,0,0,2,54,101.9424,2.7258
PAHANG,Pahang,2013,2,4,5,12,29,27,30,20,8,11,9,11,4,3,2,2,179,103.3256,3.8126
PERAK,Perak,2013,0,1,5,10,16,16,17,12,9,3,5,2,4,0,0,1,101,101.0901,4.5921
PERLIS,Perlis,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,100.2048,6.4449
PULAU PINANG,Pulau Pinang,2013,0,0,1,8,16,5,3,1,1,2,1,1,0,0,0,0,39,100.3288,5.4141
SABAH,Sabah,2013,36,57,92,173,192,196,196,135,150,111,98,72,39,16,21,22,1606,116.0753,5.9788
SARAWAK,Sarawak,2013,20,26,31,62,74,98,103,99,124,109,97,71,43,25,10,12,1004,110.3592,1.5533
SELANGOR,Selangor,2013,1,2,8,28,82,64,45,27,18,15,2,6,1,0,1,1,301,101.5183,3.0738
TERENGGANU,Terengganu,2013,1,2,3,1,9,3,9,5,2,4,1,1,0,0,0,0,41,103.1324,5.3117
WP KUALA LUMPUR,WPKL,2013,0,0,0,1,8,6,7,6,3,1,0,0,0,0,0,0,32,101.6869,3.139
WP LABUAN,WPLabuan,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.2308,5.2831
MALAYSIA,MYS,2013,81,126,175,361,496,508,478,370,343,280,234,174,100,46,36,42,3850,109,3.7
JOHOR,Johor,2014,0,0,0,4,11,10,7,3,3,1,2,0,0,0,0,1,42,103.7414,1.4927
KEDAH,Kedah,2014,0,0,0,2,3,2,4,3,1,2,2,0,0,0,0,0,19,100.3685,6.1184
KELANTAN,Kelantan,2014,0,3,5,15,16,17,23,15,12,6,9,4,1,3,0,0,129,102.2386,6.1254
MELAKA,Melaka,2014,0,0,1,0,2,4,2,1,0,0,0,0,0,0,0,0,10,102.2501,2.1896
NEGERISEMBILAN,Negeri Sembilan,2014,0,1,0,2,6,7,3,5,3,2,3,0,0,0,0,0,32,101.9424,2.7258
PAHANG,Pahang,2014,2,3,4,11,20,19,19,7,10,12,4,10,1,2,2,2,128,103.3256,3.8126
PERAK,Perak,2014,0,0,1,9,5,15,12,12,7,4,7,6,2,1,0,0,81,101.0901,4.5921
PERLIS,Perlis,2014,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,100.2048,6.4449
PULAUPINANG,Pulau Pinang,2014,1,1,0,4,13,10,1,2,2,1,1,1,0,0,0,0,37,100.3288,5.4141
SABAH,Sabah,2014,16,52,95,179,205,209,217,176,152,135,130,93,56,26,22,16,1779,116.0753,5.9788
SARAWAK,Sarawak,2014,3,14,28,74,103,115,137,153,165,176,140,86,43,24,22,18,1301,110.3592,1.5533
SELANGOR,Selangor,2014,2,1,5,31,104,80,47,22,15,9,4,2,1,1,1,1,326,101.5183,3.0738
TERENGGANU,Terengganu,2014,0,0,0,1,3,4,4,2,0,1,1,1,0,0,0,0,17,103.1324,5.3117
WP KUALA LUMPUR,WPKL,2014,0,0,0,2,6,2,3,2,2,1,0,2,0,0,0,0,20,101.6869,3.139
WP LABUAN,WPLabuan,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.2308,5.2831
MALAYSIA,MYS,2014,24,75,139,335,497,494,480,403,372,350,303,205,104,57,47,38,3923,109,3.7
JOHOR,Johor,2015,1,0,0,2,9,11,7,3,5,3,1,2,0,1,0,0,45,103.7414,1.4927
KEDAH,Kedah,2015,1,0,0,1,1,5,3,1,1,0,0,0,1,0,0,0,14,100.3685,6.1184
KELANTAN,Kelantan,2015,1,2,5,7,7,6,6,10,4,2,3,1,0,0,0,0,54,102.2386,6.1254
MELAKA,Melaka,2015,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,102.2501,2.1896
NEGERI SEMBILAN,Negeri Sembilan,2015,0,0,0,1,4,4,1,3,2,2,1,0,0,0,0,0,18,101.9424,2.7258
PAHANG,Pahang,2015,0,0,0,5,14,12,10,11,7,9,2,3,2,2,2,0,79,103.3256,3.8126
PERAK,Perak,2015,0,0,0,5,6,4,5,1,2,1,2,4,1,1,1,1,34,101.0901,4.5921
PERLIS,Perlis,2015,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4,100.2048,6.4449
PULAU PINANG,Pulau Pinang,2015,1,0,1,2,5,3,2,0,2,0,1,0,0,0,0,0,17,100.3288,5.4141
SABAH,Sabah,2015,22,41,64,101,100,142,122,105,80,60,74,61,25,18,17,12,1044,116.0753,5.9788
SARAWAK,Sarawak,2015,2,5,13,39,71,78,109,93,128,107,95,54,30,28,12,9,873,110.3592,1.5533
SELANGOR,Selangor,2015,1,1,1,5,28,18,23,8,6,2,2,3,1,1,0,0,100,101.5183,3.0738
TERENGGANU,Terengganu,2015,0,0,0,2,0,4,0,0,1,1,1,0,1,0,1,0,11,103.1324,5.3117
WP KUALA LUMPUR,WPKL,2015,0,1,0,0,4,2,3,2,1,0,0,3,0,0,0,0,16,101.6869,3.139
WP LABUAN,WPLabuan,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.2308,5.2831
MALAYSIA,MYS,2015,29,50,84,171,251,290,292,237,240,187,182,131,61,51,33,22,2311,109,3.7
JOHOR,Johor,2017,0,0,1,0,11,18,19,13,7,6,4,1,1,0,0,0,81,103.7414,1.4927
KEDAH,Kedah,2017,0,0,0,1,2,2,2,4,1,1,2,1,0,0,0,0,16,100.3685,6.1184
KELANTAN,Kelantan,2017,2,5,7,7,20,28,20,18,21,12,9,4,9,2,2,2,168,102.2386,6.1254
MELAKA,Melaka,2017,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,102.2501,2.1896
NEGERI SEMBILAN,Negeri Sembilan,2017,0,0,0,0,14,4,5,3,1,2,2,4,0,0,0,1,36,101.9424,2.7258
PAHANG,Pahang,2017,1,1,2,2,9,10,10,10,10,8,6,4,3,4,3,2,85,103.3256,3.8126
PERAK,Perak,2017,5,14,12,13,16,11,12,8,10,12,5,4,3,1,2,2,130,101.0901,4.5921
PERLIS,Perlis,2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,100.2048,6.4449
PULAU PINANG,Pulau Pinang,2017,1,0,0,1,2,1,1,0,0,1,0,1,0,0,1,0,9,100.3288,5.4141
SABAH,Sabah,2017,15,37,82,167,192,235,232,214,224,157,156,132,72,46,18,25,2004,116.0753,5.9788
SARAWAK,Sarawak,2017,2,6,26,65,109,143,141,160,166,172,150,114,86,39,34,29,1442,110.3592,1.5533
SELANGOR,Selangor,2017,0,0,2,4,20,21,18,16,11,6,2,0,2,2,1,0,105,101.5183,3.0738
TERENGGANU,Terengganu,2017,0,0,0,0,2,2,9,3,2,1,0,1,1,0,0,1,22,103.1324,5.3117
WP KUALA LUMPUR,WPKL,2017,0,0,0,1,2,1,2,1,1,1,0,1,1,1,0,0,12,101.6869,3.139
WP LABUAN,WPLabuan,2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115.2308,5.2831
